Time,Fitness,Age,Gen,Childs,FoodEaten,PoisonEaten,MaxVel_MaxHP,FoodAttraction,PoisonAttraction,FoodDistance,PoisonDistance,MaxSteerForce,DirAngleMult
2916,1.5767054258801796,2.4859999999999984,0,0,0,0,0.9969004634207582,0.1794609768970976,0.8701762939614506,0.3827580003200396,0.12228213677070976,0.46336192667948817,0.29632944720576915
3250,1.6789877903070043,2.8189999999999973,0,0,0,0,0.9720508618242247,0.6731166498615466,0.8842845789088913,0.563759016671705,0.761799996591935,0.3777278244419775,0.21222014232643416
4530,1.759261208575916,4.094999999999993,0,0,0,1,0.7067010178798397,0.30032771376327294,0.8947423046677413,0.4553458215111348,0.4907700739602934,0.38855676527209915,4.739586013302599e-05
5366,1.3914021704740844,4.935999999999993,0,0,0,3,0.06657956048270597,0.10575896129077478,0.7802514944534055,0.09917442974966251,0.5111288761834786,0.9749796458535671,0.8162795665363024
6683,2.693139431964114,6.252999999999991,0,0,1,1,0.7974085058975081,0.7227559962549862,0.4933734117524895,0.4691159765122562,0.37895986662396886,0.7118634475253601,0.16707392668244092
6788,2.3138712150852285,6.353999999999991,0,0,0,1,0.3763105509474134,0.2351023669727499,0.5082839404900895,0.7926980361990219,0.7743290620074821,0.7559629103050128,0.154214749272226
7355,2.434132288927615,6.924999999999992,0,0,1,3,0.013186970217865857,0.42199108104097993,0.919630890204892,0.44255902642724,0.9153960319752527,0.5920680450071191,0.891707993658243
7592,2.676004484301174,7.160999999999992,0,0,0,0,0.6377138263948706,0.05613400344884001,0.4581306659810084,0.44879205860685323,0.5396697633049062,0.981195897550008,0.36418404702660856
9207,3.4316176943243537,8.775999999999994,0,0,3,3,0.12382412884102967,0.7283838920737283,0.686420470968321,0.8154987018029661,0.6048061025294345,0.20234013502761838,0.3794416247049447
9408,2.996164214458212,8.976999999999995,0,0,0,0,0.4993453867659914,0.2005117563403095,0.406759825463912,0.24685690612270994,0.21458410172464748,0.4792399010942969,0.21349992209503177
10552,3.481666267751693,10.122000000000003,0,0,1,0,0.5365175745545931,0.8600468013527414,0.37347053927840546,0.1489485058681329,0.18389857387602515,0.22475640989228263,0.38523896218808673
10852,3.2283122525555057,10.422000000000002,0,0,0,0,0.3878260123950876,0.012891297406815161,0.22095883497670865,0.16266049200055477,0.5246405651976739,0.0017095151725777802,0.4973567546641632
11357,3.3054500450014377,10.926000000000005,0,0,0,0,0.34951451755568685,0.5705857360002942,0.3107557225254478,0.6831911848969312,0.4325064613174383,0.3172163881317942,0.35474722939513104
12397,3.623672170602633,7.130999999999997,1,0,4,2,0.20360855313273543,0.7284434777831738,0.8223378860901264,0.3202942123649226,0.2029106174001819,0.24122409593631366,0.1704359757118401
13910,4.180908992073377,13.48000000000002,0,1,3,2,0.12937292002027423,0.7284434777831738,0.8223378860901264,0.3202942123649226,0.2029106174001819,0.24122409593631366,0.1704359757118401
13943,3.6760032644163987,13.51300000000002,0,0,0,0,0.15057933196385764,0.1539161952972472,0.3116715703549444,0.2538938440658317,0.6999141929452732,0.19862626781944248,0.227485461557824
14820,0.0,0.8760000000000006,0,0,0,1,0.7968556299437516,0.42314072588994567,0.7359786229960072,0.14851305039074836,0.8972961468822265,0.8282492569921494,0.5476454929569013
15223,0.0,1.2800000000000007,0,0,0,2,0.48849916000639637,0.15359873579159344,0.942244568041205,0.26974239202549755,0.36856656670909094,0.938131686368625,0.21045634452170858
